contract_decimals,contract_name,contract_ticker_symbol,contract_address,supports_erc,logo_url,address,balance,total_supply,block_height
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x49eed5d4ccc4656c12bfc98f13dbfa4803abfe6e,4519560318498661606774043,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x6edeb8161a990f76d2fb4f4f3ecf6ca815ab1ffa,2228082367434732954251686,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xb68e0197f9c9c33c18a69b2c7b40ecc45605e0f2,392635957571202034815985,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xf2d98779cc53f322563d879389b1611fd0fcac72,276800982475996925650190,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x294fd17c700331aad5cc480400050e1005d2c531,120549648402710107035411,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x9a6a46ec7bf8bbfa5fc92e239319ad051d3ca103,81693438671575174831993,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xe7a85027cffc7749501a0ab97f28bce0db7c4da0,79987083645017852188794,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xf9af2e7927577d366291d8986dbd15dacef676a6,71354127961595114703429,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x10bb8fb847a5d298a68879bc8b8f455177b06bd0,67883658665386304727343,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x0f35632c8834b20851138b707d9feb4dc46e8a18,56282546535077463691015,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x856a8284b6ae62ca00ef00d9dcf39cbef09103de,50068001122494986974867,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xbb19c20ef6ca7050aa67c0a69bbaa59d6095a2e6,42792685764189652562228,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xc4ba3d877fb2df2f4981938c5d4191d08e011f5b,42783616900367407257920,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x717a4de914ac723d9c6b38c3d6611ae18e569b1b,42558579679193209059641,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x6b28256b900db4812ebf20e6f4905e11f52aba4e,40055138656507077806612,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x925bf2e6fcf6e98f3903a809dca50164d2641c14,38434740688877648606028,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x457cb678c43be4471e8ea2370cae981f80eb93cd,36674198523707806781299,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x9967ac7939b128e6933c6de94b65e8b42a77c404,35677558978509034815985,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x8bc220cb17579edae44e5ed4473ae24f07a30efb,33868522717274722795115,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xe1ecf8ef96a4a01e1cb713321564530dc3165a8c,29815951000521690856303,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xfc91f727333fbb224a6c78839463b0f372ece7d0,27873956099735933866686,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x9a1ee67e454bb963183884e7e2872fc0016613d3,26509885132992304378427,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x221819fc094b95cb6c71f2da5c424aeec05e6d75,24067917115168491232728,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x0c9ec3f99ca6b7f230b8e1999b9dae852b1fd2dc,20801409105423034815985,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xdca66a4a3328e559996b3fba27843064f823d4d3,19908871177993511405484,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x5bfbe5475c4b6f513af720f3378f03ee43ccfbe5,19905897495400037394890,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xa23136c9735e441909c14f22abc4ac5befdd3c0c,18057600000000000000000,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x1c7d8511338413c878bf3805fa2de4e2c0438e71,17711006972572557991455,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xcdccff58088eb050adc5ce9a1ac4ec037bed24cb,17076980112469133988994,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x4e377bf52dcadc10de8a62ccf4136d866ff8aa4d,16045761340872252000000,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0xdd20123d6bfd723ed4afac17f9ce634383ebd153,14981701748285713948774,8849335879395716014261555,40137064
18,BorpaToken,BORPA,0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc,,https://logos.covalenthq.com/tokens/56/0x0002bcdaf53f4889bf2f43a3252d7c03fe1b80bc.png,0x3877bebe1122e5a9d0a56f2685f6b8aebb780c8d,13481832590121554330186,8849335879395716014261555,40137064
